arrest_date,race,charge_1_description,charge_1_type,charge_1_class,charge_2_description,charge_2_type,charge_2_class,charge_3_description,charge_3_type,charge_3_class,charge_4_description,charge_4_class,charge_4_type
2024-10-24 15:27:00,BLACK,GUN OFFENDER DUTY TO REGISTER AND TO VERIFY,,L,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 14:49:00,BLACK,PCS - MFG/DEL1<15 GR COCAINE/ANLG,F,1,,,,,,,,,
2024-10-24 13:30:00,WHITE,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,DRIVING ON SUSPENDED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 13:38:00,WHITE HISPANIC,BURGLARY,F,2,CRIMINAL TRESPASS TO LAND,M,B,,,,,,
2024-10-24 15:11:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-24 15:02:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,RESIST/OBSTRUCT OFFICER,M,A,RESIST/OBSTRUCT OFFICER,M,A,,,
2024-10-24 14:34:00,WHITE HISPANIC,CANNABIS - MFG/DEL - SCHOOL - 500-2000 GRMS,F,1,CONTRIBUTING DELINQUENCY OF MINOR,M,A,UNLWFL USE CANNABIS/DRIVER,M,A,CERTAIN TRANSACTIONS - PROHIBITED,L,
2024-10-24 15:25:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 15:23:00,BLACK,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-24 14:32:00,WHITE,NO VALID REGISTRATION,,P,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 13:00:00,BLACK,CRIM TRES TO VEH/PHY CONTROL,M,A,,,,,,,,,
2024-10-24 14:25:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 16:10:00,BLACK,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 13:38:00,WHITE HISPANIC,BURGLARY,F,2,CRIMINAL TRESPASS TO LAND,M,B,,,,,,
2024-10-24 13:44:00,BLACK,CTA - ALCOHOL/DRUGS ON (98-126-1.4),,L,,,,,,,,,
2024-10-24 13:00:00,BLACK,CRIM TRES TO VEH/PHY CONTROL,M,A,,,,,,,,,
2024-10-24 14:20:00,BLACK,CTA - ALCOHOL/DRUGS ON (98-126-1.4),,L,,,,,,,,,
2024-10-24 13:28:00,BLACK,UUW - WEAPON - FELON POSS/USE MACHINE GUN,F,X,ARMED HABITUAL CRIMINAL,F,X,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,,,
2024-10-24 13:33:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,GUN OFFENDER DUTY TO REPORT,,L,,,,,,
2024-10-24 14:05:00,BLACK,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,UUW -  WEAPON - PUBLIC STREET/ALLEY/LANDS,M,A,EXPIRATION OF REGISTRATION,,P,,,
2024-10-24 13:30:00,BLACK,UUW -  WEAPON - MACHINE GUN /AUTOMATIC WEAPON,F,2,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,UNLWFL POSS CANNABIS/DRIVER,M,A,DL EXPIRED MORE THAN A YEAR,B,M
2024-10-24 13:48:00,WHITE HISPANIC,CRIMINAL TRESPASS TO LAND,M,B,CRIMINAL TRESPASS TO LAND,M,B,,,,,,
2024-10-24 13:08:00,WHITE HISPANIC,DRIVING RVK/SUSP DUI/SSS 4-9,F,4,DRIVING ON REVOKED LICENSE,M,A,ISSUANCE OF WARRANT,,Z,NO VALID REGISTRATION,P,
2024-10-24 13:32:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 12:50:00,WHITE HISPANIC,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-24 12:45:00,BLACK,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-24 12:44:00,WHITE,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,
2024-10-24 12:38:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 12:31:00,BLACK,DRIVING RVK/SUSP DUI/SSS 2ND,F,4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING ON REVOKED LICENSE,M,A,,,
2024-10-24 12:32:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 12:14:00,BLACK,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,NO VALID REGISTRATION,,P,,,
2024-10-24 10:27:00,WHITE HISPANIC,CONTRIB CRIM DELINQ MINOR/CL 2,F,1,,,,,,,,,
2024-10-24 12:25:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 11:30:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,
2024-10-24 11:51:00,WHITE HISPANIC,AGGRAVATED BATTERY/STRANGLE,F,3,,,,,,,,,
2024-10-24 11:04:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,AGG ASSAULT VOL/PRIV SEC OFF/UTIL,M,A,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,
2024-10-24 11:52:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 11:55:00,WHITE,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-24 11:50:00,BLACK,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-24 10:30:00,WHITE,CRIMINAL TRESPASS TO LAND,M,B,,,,,,,,,
2024-10-24 11:29:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 10:45:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-24 11:25:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 10:12:00,BLACK,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-24 09:50:00,BLACK,ANNUAL GUN OFFENDER REGISTRATION,,L,NO VALID REGISTRATION,,P,,,,,,
2024-10-24 10:30:00,BLACK,CRIM DMG TO PROP $500-10K,F,4,,,,,,,,,
2024-10-24 08:16:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,IMPROPER LEFT TURN-2 WAY RDWY,,L,,,,,,
2024-10-24 09:00:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 08:01:00,BLACK,OBSTRUCTING IDENTIFICATION,M,A,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,THEFT LOST/MISLAID/PROP/<$500,M,B,ISSUANCE OF WARRANT,Z,
2024-10-24 07:47:00,ASIAN / PACIFIC ISLANDER,BATTERY - MAKE PHYSICAL CONTACT,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,
2024-10-24 09:00:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,,,,,,
2024-10-24 08:34:00,BLACK,AGG BATTERY/PEACE OFFICER,F,2,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-24 08:45:00,WHITE HISPANIC,PCS - MFG/DEL1<15 GR COCAINE/ANLG,F,1,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,NO VALID REGISTRATION,,P,,,
2024-10-24 09:49:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-24 07:35:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-24 05:40:00,BLACK,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-24 07:30:00,BLACK,CRIM DMG/GOVT PROP/<$500,F,4,,,,,,,,,
2024-10-24 07:41:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 07:30:00,WHITE,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 05:58:00,BLACK,BURGLARY,F,2,CRIMINAL TRESPASS TO LAND,M,B,,,,,,
2024-10-24 05:56:00,BLACK,BURGLARY,F,2,CRIMINAL TRESPASS TO LAND,M,B,,,,,,
2024-10-24 05:14:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 01:10:00,BLACK,POSSESSION OF A STOLEN FIREARM,F,2,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,OBSTRUCTING IDENTIFICATION,M,A,POSS CANNABIS IN PRIV VEH NOT IN SEALED CONTAINER,L,
2024-10-24 02:18:00,WHITE HISPANIC,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,M,A,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,DIMMING HEADLIGHTS REQUIRED,L,
2024-10-24 03:04:00,BLACK,STOP AT STOP SIGN,,L,STOP AT STOP SIGN,,L,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-24 02:47:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,DOMESTIC BATTERY/BODILY HARM,M,A,ISSUANCE OF WARRANT,,Z,,,
2024-10-24 02:30:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 23:50:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 02:00:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,IVC - DISREGARD TRAFFIC CONTROL LIGHT,,P,,,
2024-10-24 00:12:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-23 23:50:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 00:34:00,WHITE,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 00:30:00,BLACK,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,,,,,,,
2024-10-24 00:00:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,IVC - TRANS/CARRY ALC LIQ/DRIVER,,P,IVC - UNLAW STOPPING/STANDING/PARKING,,P,,,
2024-10-23 23:43:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-23 21:15:00,WHITE HISPANIC,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR,F,1,,,,,,,,,
2024-10-23 22:17:00,BLACK,POSSESSION OF A STOLEN FIREARM,F,2,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,DRIVING ON REVOKED LICENSE,A,M
2024-10-23 21:55:00,BLACK,IDENTITY THEFT/$2K-$10K,F,2,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 22:08:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,BROKEN/INOPERABLE LAMPS,,L,,,,,,
2024-10-23 21:37:00,BLACK HISPANIC,AGG ASSAULT/USE DEADLY WEAPON,M,A,UUW -  WEAPON - CARRY W/ INTENT KNIFE,M,A,UUW -  WEAPON - CARRY W/ INTENT KNIFE,M,A,,,
2024-10-23 21:48:00,BLACK,RETAIL THEFT - OBTAINS UNAUTHORIZED CONTROL <$300,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 21:21:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-23 21:25:00,BLACK,ANNUAL GUN OFFENDER REGISTRATION,,L,GUN OFFENDER DUTY TO REPORT,,L,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-23 21:53:00,WHITE HISPANIC,CANC/REVOKE/SUSPEND REGIS/IL,M,A,UNLWFL POSS CANNABIS/DRIVER,M,A,CITY VEH STICKER REQ/FAILURE TO OR IMPROPER DISPLAY,,L,OBSTRUCTED FRONT WINDSHIELD,P,
2024-10-23 21:15:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,NO VALID REGISTRATION,,P,,,,,,
2024-10-23 21:50:00,WHITE HISPANIC,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-23 21:00:00,BLACK,RECEIVE/POSSESS/SELL  STOLEN VEHICLE,F,2,UUW - UNLAWFUL POSSESS FIREARM/ EXPLOSIVE BULLET,M,A,,,,,,
2024-10-23 21:27:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 20:34:00,BLACK,DRIVING RVK/SUSP DUI/SSS 3RD,F,4,OBSTRUCTING IDENTIFICATION,M,A,DRIVING ON REVOKED LICENSE,M,A,PARKING IN ALLEYS,L,
2024-10-23 20:37:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,SOLICITING UNLAWFUL BUSINESS,,L,,,,,,
2024-10-23 19:45:00,BLACK,FCCL FL DISCL CONCEALED FIR,M,B,DISPLAY ST REG-FRONT/REAR,,L,,,,,,
2024-10-23 20:28:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-23 20:09:00,BLACK,ISSUANCE OF WARRANT,,Z,OPERATOR SIGNAL- MEANS,,L,,,,,,
2024-10-23 20:01:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,,,,,,,,,
2024-10-23 19:42:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,L,,,
2024-10-23 19:20:00,BLACK HISPANIC,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-23 19:38:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,,P,NO VALID REGISTRATION,P,
2024-10-23 19:58:00,BLACK,UNLWFL POSS CANNABIS/DRIVER,M,A,OBSTRUCTING AN OFFICER,M,A,NO TURN SIGNALS-VIOLATION,,L,"LIGHT, TAIL LIGHTS REQUIRED",L,
2024-10-23 19:10:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,
2024-10-23 18:15:00,WHITE HISPANIC,FLEEING/ATTEMPT ELUDE OFFICER,M,A,DRIVING ON SUSPENDED LICENSE,M,A,RECKLESS DRIVING,M,A,OPERATE WITHOUT INSURANCE,A,M
2024-10-23 19:30:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-23 19:18:00,BLACK,AGG UUW/PERSON/NO FOID,F,4,DIMMING HEADLIGHTS REQUIRED,,L,,,,,,
2024-10-23 18:16:00,WHITE HISPANIC,RECEIVE/POSSESS/SELL  STOLEN VEHICLE,F,2,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,,,,,,
2024-10-23 19:23:00,BLACK,DRIVING/NEVER ISSUED LICENSE,M,B,OPERATE MTR VEHICLE/REGIS/SUSPENDED/NON-INSURED,,U,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-23 18:45:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-23 18:45:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-23 18:16:00,WHITE HISPANIC,CRIM TRES TO VEH/PHY CONTROL,M,A,,,,,,,,,
2024-10-23 18:34:00,BLACK,AGG BATTERY/PUBLIC PLACE,F,3,AGG UUW/PERSON/NO FOID,F,4,,,,,,
2024-10-23 17:40:00,WHITE HISPANIC,VEHICULAR HIJACKING - AGG - FIREARM,F,X,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 17:41:00,WHITE HISPANIC,VEHICULAR HIJACKING - AGG - FIREARM,F,X,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,
2024-10-23 17:11:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-23 18:11:00,WHITE,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-23 17:11:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-23 18:11:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-23 16:45:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-23 17:41:00,BLACK,VEHICULAR HIJACKING - AGG - FIREARM,F,X,,,,,,,,,
2024-10-23 18:11:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 16:45:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,
2024-10-23 17:15:00,BLACK,VIOL SEX OFFENDER REGISTRATION,F,3,,,,,,,,,
2024-10-23 16:43:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,
2024-10-23 16:58:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DISPLAY ST REG-FRONT/REAR,,L,NO VALID REGISTRATION,,P,UNLICENSED,P,
2024-10-23 16:33:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,RIDING BICYCLE ON SIDEWALK,,L,,,,,,
2024-10-23 16:57:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,OBSTRUCTING IDENTIFICATION,M,A,,,
2024-10-23 17:16:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,REGISTRATION PLATES,,L,,,,,,
2024-10-23 15:50:00,WHITE,CARRY CONCEALED FIR/AIRPORT,M,B,,,,,,,,,
2024-10-23 17:04:00,BLACK,VIOLATE ORDER PROTECTION,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,DOMESTIC BATTERY/BODILY HARM,M,A,,,
2024-10-23 16:22:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,PARKING PROHIBITED-STANDING/PARKING POSTED,,L,,,,,,
2024-10-23 14:58:00,BLACK,UUW -  WEAPON - MACHINE GUN /AUTOMATIC WEAPON,F,2,,,,,,,,,
2024-10-23 12:34:00,BLACK,OTHER AMT NARCOTIC SCHED I&II,F,2,,,,,,,,,
2024-10-23 15:28:00,BLACK HISPANIC,CRIMINAL TRESPASS TO LAND,M,B,,,,,,,,,
2024-10-23 16:00:00,WHITE,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-23 13:49:00,BLACK,CANNABIS - POSSESS MORE THAN 5000 GRMS,F,1,,,,,,,,,
2024-10-23 13:49:00,BLACK,CANNABIS - POSSESS MORE THAN 5000 GRMS,F,1,,,,,,,,,
2024-10-23 12:56:00,BLACK,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,4,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,4,,,,,,
2024-10-23 14:15:00,WHITE HISPANIC,CRIM DAMAGE TO PROPERTY <$500,M,A,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,ISSUANCE OF WARRANT,,Z,,,
2024-10-23 14:36:00,BLACK,BURGLARY - RESIDENTIAL,F,1,,,,,,,,,
2024-10-23 15:00:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,POSS CAN/>30-100 GRAM/1ST,M,A,DRIVING/NEVER ISSUED LICENSE,B,M
2024-10-23 14:44:00,WHITE HISPANIC,AGG UUW/LOADED-NO FCCA-FOID,F,4,,,,,,,,,
2024-10-23 14:35:00,BLACK,ISSUANCE OF WARRANT,,Z,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,
2024-10-23 13:43:00,BLACK HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,ALLEY BLOCKING-REDUCE CLEARANCE <10FT,,L,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-23 13:35:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,DISPLAY ST REG-FRONT/REAR,,L,IVC - IMPROPER LANE CHANGE WITHOUT SIGNAL,P,
2024-10-23 14:00:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-23 13:55:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 13:31:00,WHITE HISPANIC,CANC/REVOKE/SUSPEND REGIS/IL,M,A,UNLICENSED,,P,,,,,,
2024-10-23 13:16:00,BLACK,BURGLARY,F,2,,,,,,,,,
2024-10-23 13:04:00,BLACK,AGG ASSAULT/STATE IL EMP/WEAPON,F,4,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,,,,
2024-10-23 13:14:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-23 12:30:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 12:32:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-23 13:01:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 11:55:00,BLACK,OBSTRUCTING IDENTIFICATION,M,A,ISSUANCE OF WARRANT,,Z,SALE OR POSSESSION OF DEADLY WEAPON,,L,,,
2024-10-23 11:46:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,HIGH CAP MAG AND METAL PIERCING BULLETS - SALE/POSS PROH,,L,IVC - NOT WEARING SEAT BELT/PASSENGER,P,
2024-10-23 12:10:00,BLACK,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-23 12:00:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 11:30:00,BLACK,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,PARKING PROHIBITED-STANDING/PARKING POSTED,,L,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-23 11:37:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-23 11:30:00,WHITE HISPANIC,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-23 11:01:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-23 05:50:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,
2024-10-23 11:42:00,BLACK,CANNABIS - MFG/DEL - 10-30 GRMS,F,4,SOLICITING UNLAWFUL BUSINESS,,L,,,,,,
2024-10-23 11:33:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,UNLICENSED,,P,,,,,,
2024-10-23 10:50:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-23 10:34:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,AGG ASSAULT/TRANSIT EMPLOYEE,M,A,,,,,,
2024-10-23 11:12:00,BLACK,THEFT -  LABOR/SERVICES/PROPERTY,M,A,,,,,,,,,
2024-10-23 10:10:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 10:31:00,BLACK,ROBBERY - ARMED - OTHER DANGEROUS WEAPON,F,X,,,,,,,,,
2024-10-23 10:25:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-23 10:00:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,,,,,,,,,
2024-10-23 08:52:00,BLACK,AGG BATTERY/USE DEADLY WEAPON,F,3,,,,,,,,,
2024-10-23 10:00:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 09:39:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 09:31:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 08:43:00,BLACK,AGG BTRY/PREGNANT/HANDICAPPED,F,3,DOMESTIC BATTERY - OTHER PRIOR,F,4,,,,,,
2024-10-23 08:42:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-23 09:25:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 10:40:00,BLACK,AGGR DISCHARGE FIREARM - OCCUPIED BLDG,F,1,,,,,,,,,
2024-10-23 08:50:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-23 08:00:00,BLACK,ISSUANCE OF WARRANT,,Z,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,
2024-10-23 11:00:00,BLACK,MURDER - FIRST DEGREE (ATTEMPT),F,M,,,,,,,,,
2024-10-23 07:50:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 07:00:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-23 05:31:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,BATTERY - MAKE PHYSICAL CONTACT,M,A,ASSAULT - SIMPLE,M,C,,,
2024-10-23 04:46:00,WHITE HISPANIC,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,
